 ,Label,Area,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
903,work,1194.786,950.028,1283.421,132.766,40.234,37.810,156.743,0.852,45.955,609,835,158.552,39.546,1.064,0.940,0.917
904,work,1304.464,1087.796,1283.878,134.032,43.477,38.202,141.066,0.912,44.928,700,832,144.689,38.886,1.138,0.879,0.947
905,work,86.342,1541.907,1271.315,35.614,12.575,8.742,119.576,0.855,15.276,1006,829,126.870,9.166,1.438,0.695,0.937
906,work,270.694,1508.849,1276.219,63.328,23.112,14.912,12.197,0.848,25.286,980,839,25.017,16.419,1.550,0.645,0.882
907,work,303.364,1530.821,1279.554,72.340,22.572,17.112,139.201,0.728,25.924,997,830,135.000,19.086,1.319,0.758,0.841
908,work,1218.122,1380.993,1290.817,135.451,41.139,37.701,109.704,0.834,45.853,899,831,119.982,39.612,1.091,0.916,0.918
909,work,46.671,1550.897,1274.020,26.448,9.759,6.089,142.018,0.838,11.931,1013,831,140.194,7.561,1.603,0.624,0.909
910,work,1185.452,82.506,1291.900,127.551,39.176,38.527,155.274,0.916,41.555,41,842,162.897,39.546,1.017,0.983,0.939
911,work,1409.474,171.660,1294.569,140.513,44.284,40.525,161.305,0.897,47.059,98,851,13.134,41.356,1.093,0.915,0.942
912,work,1241.457,1296.181,1290.045,132.025,41.189,38.376,13.015,0.895,43.690,837,852,36.469,38.190,1.073,0.932,0.946
913,work,1211.121,259.826,1295.057,130.606,39.908,38.640,130.332,0.892,43.476,167,834,108.435,39.624,1.033,0.968,0.932
914,work,1316.131,344.295,1294.843,134.185,43.115,38.867,143.384,0.919,45.573,214,837,129.560,39.718,1.109,0.901,0.953
915,work,1278.794,524.748,1296.131,132.766,41.081,39.634,35.913,0.912,43.476,330,852,18.435,40.967,1.037,0.965,0.939
916,work,1295.129,615.721,1297.730,137.241,41.830,39.422,134.718,0.864,47.454,390,842,146.821,39.129,1.061,0.942,0.934
917,work,1208.787,430.498,1299.706,129.711,40.536,37.968,167.271,0.903,43.207,268,848,171.870,38.190,1.068,0.937,0.941
918,work,1465.480,1002.170,1301.546,144.092,43.989,42.418,131.933,0.887,47.158,642,859,24.905,42.773,1.037,0.964,0.941
919,work,1157.449,1210.914,1299.625,127.180,39.133,37.659,141.324,0.899,41.947,781,844,146.889,38.190,1.039,0.962,0.932
920,work,1113.111,702.564,1301.598,123.230,38.719,36.604,138.963,0.921,40.330,452,842,127.304,37.806,1.058,0.945,0.948
921,work,1155.115,1487.679,1303.431,144.463,43.401,33.887,21.615,0.696,44.720,959,856,7.853,36.310,1.281,0.781,0.892
922,work,270.694,1515.433,1293.062,64.594,20.287,16.989,136.620,0.815,24.153,985,842,161.565,18.331,1.194,0.837,0.875
923,work,1297.463,1130.101,1306.800,133.291,41.176,40.120,69.572,0.918,44.063,729,865,33.690,39.718,1.026,0.974,0.952
924,work,1465.480,792.173,1311.339,142.303,44.141,42.272,145.136,0.909,46.535,504,853,156.801,42.965,1.044,0.958,0.946
