 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
67,1068.773,255,255,255,121.070,37.874,35.930,26.297,0.916,1.054,0.949,0.942
68,933.426,255,255,255,117.120,35.129,33.832,11.242,0.855,1.038,0.963,0.910
69,1206.454,255,255,255,129.341,41.339,37.158,156.471,0.906,1.113,0.899,0.945
70,1243.791,255,255,255,130.606,42.636,37.144,106.560,0.916,1.148,0.871,0.949
71,970.764,255,255,255,117.273,37.447,33.007,14.355,0.887,1.134,0.881,0.945
72,1141.114,255,255,255,128.446,40.792,35.618,164.527,0.869,1.145,0.873,0.938
73,1218.122,255,255,255,171.129,53.470,29.006,130.727,0.523,1.843,0.542,0.783
74,996.433,255,255,255,116.749,36.213,35.035,78.705,0.919,1.034,0.967,0.944
75,1050.105,255,255,255,121.070,39.291,34.029,141.944,0.900,1.155,0.866,0.939
76,375.704,255,255,255,83.666,32.917,14.532,164.142,0.674,2.265,0.441,0.841
77,984.765,255,255,255,121.070,38.324,32.717,151.060,0.844,1.171,0.854,0.919
78,1362.803,255,255,255,144.463,46.497,37.318,146.936,0.821,1.246,0.803,0.923
79,1101.443,255,255,255,124.496,38.093,36.815,43.100,0.893,1.035,0.966,0.936
80,1101.443,255,255,255,123.230,39.174,35.800,143.693,0.911,1.094,0.914,0.946
81,1243.791,255,255,255,129.711,40.922,38.699,71.120,0.929,1.057,0.946,0.950
82,1311.464,255,255,255,136.716,41.328,40.404,18.452,0.882,1.023,0.978,0.946
83,1388.472,255,255,255,140.667,43.455,40.682,17.068,0.882,1.068,0.936,0.948
84,1117.778,255,255,255,125.915,37.988,37.465,3.536,0.886,1.014,0.986,0.936
85,1131.780,255,255,255,123.230,38.604,37.328,127.181,0.937,1.034,0.967,0.952
86,1269.460,255,255,255,134.556,41.248,39.186,112.193,0.881,1.053,0.950,0.940
87,1211.121,255,255,255,131.130,40.735,37.856,143.870,0.885,1.076,0.929,0.946
88,1386.138,255,255,255,139.772,45.554,38.742,141.433,0.892,1.176,0.850,0.946
89,1183.118,255,255,255,128.446,40.053,37.610,158.565,0.901,1.065,0.939,0.940
90,403.707,255,255,255,77.556,27.035,19.013,0.291,0.843,1.422,0.703,0.896
91,1157.449,255,255,255,126.656,40.770,36.147,141.261,0.907,1.128,0.887,0.942
92,1213.454,255,255,255,128.816,42.754,36.138,140.468,0.919,1.183,0.845,0.946
93,1094.443,255,255,255,124.125,37.586,37.075,132.348,0.893,1.014,0.986,0.938
94,963.763,255,255,255,121.594,36.603,33.525,100.867,0.819,1.092,0.916,0.911
95,1187.785,255,255,255,131.130,40.510,37.333,155.932,0.868,1.085,0.922,0.932
96,1507.484,255,255,255,148.937,44.917,42.731,1.406,0.854,1.051,0.951,0.926
97,1059.439,255,255,255,121.965,38.341,35.182,101.817,0.895,1.090,0.918,0.939
98,1101.443,255,255,255,125.761,39.239,35.740,1.284,0.875,1.098,0.911,0.926
99,1155.115,255,255,255,127.704,39.674,37.070,40.663,0.890,1.070,0.934,0.946
100,1143.447,255,255,255,125.915,41.400,35.166,154.792,0.906,1.177,0.849,0.939
101,1190.119,255,255,255,127.922,39.400,38.460,67.140,0.914,1.024,0.976,0.947
102,114.345,255,255,255,42.095,15.633,9.313,95.060,0.811,1.679,0.596,0.860
103,1255.459,255,255,255,131.501,40.813,39.166,153.614,0.912,1.042,0.960,0.951
104,1243.791,255,255,255,135.451,40.862,38.756,137.962,0.852,1.054,0.948,0.925
105,1199.453,255,255,255,128.446,40.311,37.885,158.982,0.914,1.064,0.940,0.947
106,1092.109,255,255,255,124.496,39.890,34.859,154.314,0.885,1.144,0.874,0.937
107,1120.112,255,255,255,123.601,39.206,36.376,173.881,0.921,1.078,0.928,0.944
108,970.764,255,255,255,116.225,38.579,32.038,169.357,0.903,1.204,0.830,0.934
109,1222.789,255,255,255,129.865,42.424,36.699,139.727,0.911,1.156,0.865,0.953
110,1033.770,255,255,255,119.804,38.730,33.985,173.854,0.905,1.140,0.877,0.940
111,1155.115,255,255,255,125.915,39.329,37.395,124.114,0.916,1.052,0.951,0.952
112,79.341,255,255,255,32.559,12.336,8.189,37.813,0.941,1.506,0.664,0.919
113,1288.129,255,255,255,135.451,43.160,38.000,15.159,0.882,1.136,0.880,0.941
114,1017.435,255,255,255,139.094,41.053,31.555,159.014,0.661,1.301,0.769,0.820
115,170.350,255,255,255,54.316,18.217,11.906,88.536,0.726,1.530,0.654,0.864
116,1414.141,255,255,255,140.142,43.108,41.768,142.973,0.905,1.032,0.969,0.945
117,1220.455,255,255,255,128.970,39.974,38.874,175.891,0.922,1.028,0.972,0.949
118,401.373,255,255,255,79.870,24.602,20.773,145.879,0.791,1.184,0.844,0.875
119,1325.466,255,255,255,135.297,43.164,39.098,156.623,0.910,1.104,0.906,0.944
120,1339.467,255,255,255,169.646,42.801,39.847,72.916,0.585,1.074,0.931,0.903
121,1031.436,255,255,255,132.242,38.100,34.469,9.367,0.741,1.105,0.905,0.923
122,1152.782,255,255,255,131.501,40.796,35.978,179.367,0.838,1.134,0.882,0.915
123,1236.790,255,255,255,129.711,41.371,38.063,158.744,0.924,1.087,0.920,0.950
124,856.419,255,255,255,111.009,35.559,30.665,162.307,0.873,1.160,0.862,0.923
125,1129.446,255,255,255,128.292,41.721,34.468,162.818,0.862,1.210,0.826,0.924
126,1215.788,255,255,255,131.501,40.696,38.038,150.641,0.884,1.070,0.935,0.935
127,970.764,255,255,255,117.490,37.828,32.675,140.639,0.884,1.158,0.864,0.928
128,1106.110,255,255,255,132.242,41.556,33.890,170.995,0.795,1.226,0.816,0.894
129,1061.773,255,255,255,121.965,38.163,35.424,32.102,0.897,1.077,0.928,0.943
130,1005.767,255,255,255,118.168,36.871,34.731,116.774,0.905,1.062,0.942,0.954
